onset,duration,trial_type,conditions
0,12,FIXATION,FIXATION
12,6,CS-,CS-_first
18,13,FIXATION,FIXATION
31,6,CSS,CSS_first
37,0,US_CSS,US_CSS
37,13,FIXATION,FIXATION
50,6,CSR,CSR_first
56,0,US_CSR,US_CSR
56,14,FIXATION,FIXATION
70,6,CSR,CSR_others
76,0,US_CSR,US_CSR
76,12,FIXATION,FIXATION
88,6,CSS,CSS_others
94,0,US_CSS,US_CSS
94,13,FIXATION,FIXATION
107,6,CS-,CS-_others
113,13,FIXATION,FIXATION
126,6,CSR,CSR_others
132,0,US_CSR,US_CSR
132,15,FIXATION,FIXATION
147,6,CS-,CS-_others
153,13,FIXATION,FIXATION
166,6,CS-,CS-_others
172,11,FIXATION,FIXATION
183,6,CSS,CSS_others
189,0,US_CSS,US_CSS
189,14,FIXATION,FIXATION
203,6,CSR,CSR_others
209,12,FIXATION,FIXATION
221,6,CSR,CSR_others
227,0,US_CSR,US_CSR
227,14,FIXATION,FIXATION
241,6,CS-,CS-_others
247,12,FIXATION,FIXATION
259,6,CSS,CSS_others
265,0,US_CSS,US_CSS
265,13,FIXATION,FIXATION
278,6,CSR,CSR_others
284,0,US_CSR,US_CSR
284,15,FIXATION,FIXATION
299,6,CSS,CSS_others
305,0,US_CSS,US_CSS
305,13,FIXATION,FIXATION
318,6,CSS,CSS_others
324,0,US_CSS,US_CSS
324,11,FIXATION,FIXATION
335,6,CS-,CS-_others
341,14,FIXATION,FIXATION
355,6,CSS,CSS_others
361,0,US_CSS,US_CSS
361,12,FIXATION,FIXATION
373,6,CSR,CSR_others
379,0,US_CSR,US_CSR
379,14,FIXATION,FIXATION
393,6,CS-,CS-_others
399,13,FIXATION,FIXATION
412,6,CS-,CS-_others
418,11,FIXATION,FIXATION
429,6,CSR,CSR_others
435,14,FIXATION,FIXATION
449,6,CSS,CSS_others
455,0,US_CSS,US_CSS
455,12,FIXATION,FIXATION
