contrast_id,contrast_name,contrast_type,condition1,condition2,weight1,weight2,conditions_list,weights_list
1,FIXATION>baseline,T,FIXATION,,1,0,['FIXATION'],[1]
2,CS-_first>baseline,T,CS-_first,,1,0,['CS-_first'],[1]
3,CSS_first>baseline,T,CSS_first,,1,0,['CSS_first'],[1]
4,US_CSS>baseline,T,US_CSS,,1,0,['US_CSS'],[1]
5,CSR_first>baseline,T,CSR_first,,1,0,['CSR_first'],[1]
6,US_CSR>baseline,T,US_CSR,,1,0,['US_CSR'],[1]
7,CSR_others>baseline,T,CSR_others,,1,0,['CSR_others'],[1]
8,CSS_others>baseline,T,CSS_others,,1,0,['CSS_others'],[1]
9,CS-_others>baseline,T,CS-_others,,1,0,['CS-_others'],[1]
